Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:          2      1.98      0.00      0.00      0.00      0.00     98.02
Average:          3      1.00      0.00      0.00      0.00      0.00     99.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      0.00      1.01      0.00     98.99
Average:          6      3.92      0.00      0.98     13.73      0.00     81.37
Average:          7      0.00      0.00      0.00      1.00      0.00     99.00
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:31        all      0.00      0.00      0.25      0.00      0.00     99.75
19:49:31          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:31          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:31          2      0.00      0.00      1.00      0.00      0.00     99.00
19:49:31          3      0.00      0.00      0.00      0.00      0.00    100.00
19:49:31          4      0.00      0.00      0.00      0.00      0.00    100.00
19:49:31          5      0.00      0.00      0.00      0.00      0.00    100.00
19:49:31          6      0.00      0.00      0.00      0.00      0.00    100.00
19:49:31          7      0.00      0.00      0.99      0.00      0.00     99.01

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.00      0.00      0.25      0.00      0.00     99.75
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      1.00      0.00      0.00     99.00
Average:          3      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00    100.00
Average:          5      0.00      0.00      0.00      0.00      0.00    100.00
Average:          6      0.00      0.00      0.00      0.00      0.00    100.00
Average:          7      0.00      0.00      0.99      0.00      0.00     99.01
Linux 5.15.0-73-generic (bianca-MS-7C00) 	09/06/23 	_x86_64_	(8 CPU)

19:49:32        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:49:33        all      0.25      0.00      0.50      0.00      0.00     99.25
19:49:33          0      0.00      0.00      0.00      0.00      0.00    100.00
19:49:33          1      0.00      0.00      0.00      0.00      0.00    100.00
19:49:33          2      0.99      0.00      0.99      0.00      0.00     98.02
19:49:33          3      0.00      0.00      0.99      0.00      0.00     99.01
